,Run Number,BO Iter,Best Error,Exploration Bias,Max EI,Theta Max EI,Min Obj,Min Obj Act,Theta Min Obj,Min Obj Cum.,Theta Min Obj Cum.,Time/Iter,Sep Fact,BO Method,Max Evals,Total Run Time
426,8,28,3.6374290256694264e-05,0.72,0.0016487692188589006,[ 0.99874139 -1.00084833],9.103861766557446e-09,1.3176545530689195e-07,[ 1.00011138 -1.00001506],1.3176545530689195e-07,[ 1.00011138 -1.00001506],1.304142713546753,0.7,C2,34,44.3408522605896
427,8,29,3.6374290256694264e-05,0.71,0.001618289482678819,[ 0.99873687 -1.00084729],8.299887230516437e-09,1.1813158615808932e-07,[ 1.00010504 -1.00001513],1.1813158615808932e-07,[ 1.00010504 -1.00001513],1.2264268398284912,0.7,C2,34,41.6985125541687
428,8,30,3.6374290256694264e-05,0.7,0.0015878185116413516,[ 0.99873272 -1.00084633],7.590458680703059e-09,1.0626676488710557e-07,[ 1.0000992 -1.0000152],1.0626676488710557e-07,[ 1.0000992 -1.0000152],1.186995029449463,0.7,C2,34,40.35783100128174
429,8,31,3.6374290256694264e-05,0.69,0.0015573548174897627,[ 0.99872887 -1.00084543],6.9650640646222855e-09,9.457467699325308e-08,[ 1.00009317 -1.00001511],9.457467699325308e-08,[ 1.00009317 -1.00001511],1.3852152824401855,0.7,C2,34,47.09731960296631
430,8,32,3.6374290256694264e-05,0.6799999999999999,0.0015268971945803093,[ 0.9987253  -1.00084459],6.4038995971610815e-09,8.585240313003989e-08,[ 1.0000883  -1.00001522],8.585240313003989e-08,[ 1.0000883  -1.00001522],1.5485093593597412,0.7,C2,34,52.6493182182312
431,8,33,3.6374290256694264e-05,0.6699999999999999,0.0014964446258310617,[ 0.99872199 -1.0008438 ],5.90611647229307e-09,7.745161172088067e-08,[ 1.00008341 -1.00001522],7.745161172088067e-08,[ 1.00008341 -1.00001522],1.4436566829681396,0.7,C2,34,49.08432722091675
432,9,0,9.650632465771888,1.0,2.0207207385400485,[ 0.07628041 -1.18389933],0.00015181659934483655,0.00015215655708974141,[ 1.00005288 -0.99788473],0.00015215655708974141,[ 1.00005288 -0.99788473],0.8261806964874268,0.7,C2,34,28.09014368057251
433,9,1,9.650632465771888,0.99,166.51993513190996,[ 0.99891032 -0.99836053],2.0587071694958202e-05,7.974064568358119e-05,[ 1.00250619 -0.99929433],7.974064568358119e-05,[ 1.00250619 -0.99929433],0.5462594032287598,0.7,C2,34,18.572819709777832
434,9,2,0.00010326072165181256,0.98,0.006433034764937742,[ 0.9979053  -0.99868249],8.737356575975908e-08,2.6812868457095537e-06,[ 1.00051763 -0.99999264],2.6812868457095537e-06,[ 1.00051763 -0.99999264],1.5195300579071045,0.7,C2,34,51.66402196884155
435,9,3,0.00010289579003098488,0.97,0.005816797127061347,[ 0.99791562 -0.99870551],1.1381678374790884e-07,2.632124459949077e-06,[ 1.00051297 -1.00000476],2.632124459949077e-06,[ 1.00051297 -1.00000476],1.0260980129241943,0.7,C2,34,34.88733243942261
