,Run Number,BO Iter,Best Error,Exploration Bias,Max EI,Theta Max EI,Min Obj,Min Obj Act,Theta Min Obj,Min Obj Cum.,Theta Min Obj Cum.,Time/Iter,EP Method Val,BO Method,Max Evals,Total Run Time
30,12,0,112844.02253149835,1.0,0.0,[-1.7855227   1.51387165  0.95617315 -0.84719097],59865.767245109266,126993.44781646685,[-2.          2.          0.79030088  0.94538703],126993.44781646685,[-2.          2.          0.79030088  0.94538703],59.40309762954712,1,C2,4,237.61239051818848
31,12,1,112844.02253149835,1.0,27921868.17709077,[1.88393484 1.40300754 1.87419662 0.98841357],62537.61243119179,112676.80598234388,[ 1.7650613  -0.07928185  0.93220041  0.92861796],112676.80598234388,[ 1.7650613  -0.07928185  0.93220041  0.92861796],93.6725070476532,1,C2,4,374.6900281906128
32,12,2,112838.21404495843,1.0,0.0,[-0.62740484 -0.20070918  1.26771396  1.42800906],59564.3968314418,106143.67355443948,[-1.93319592  0.59072761  2.          0.95668138],106143.67355443948,[-1.93319592  0.59072761  2.          0.95668138],77.16909623146057,1,C2,4,308.6763849258423
33,12,3,112838.21404495843,1.0,0.0,[ 1.102831    1.32253359  1.7604433  -1.67592685],57621.57246943397,179574.39772224778,[ 1.44471614 -0.11633009  0.          0.95459125],106143.67355443948,[-1.93319592  0.59072761  2.          0.95668138],92.2432427406311,1,C2,4,368.9729709625244
34,13,0,112844.02253149835,1.0,0.0,[-1.7855227   1.51387165  0.95617315 -0.84719097],2174446.2609347943,2196811.7857440496,[-0.88396574  0.14905041  0.07447052  1.62469698],2196811.7857440496,[-0.88396574  0.14905041  0.07447052  1.62469698],39.039391040802,1,C2,2,78.078782081604
35,13,1,112844.02253149835,1.0,0.0,[-1.52838065  0.76858661  0.33434761 -0.15766997],1750739.8646733544,1750637.7518977793,[ 0.8852078  -0.08196267  0.91583565  1.52129031],1750637.7518977793,[ 0.8852078  -0.08196267  0.91583565  1.52129031],32.420772314071655,1,C2,2,64.84154462814331
36,14,0,112844.02253149835,1.0,0.0,[-0.53762385 -1.54209214  1.21675079  1.1544071 ],50745.35827711372,173150.93217126955,[-2.          0.85045536  0.          0.94616587],173150.93217126955,[-2.          0.85045536  0.          0.94616587],87.01354265213013,1,C2,4,348.0541706085205
37,14,1,112844.02253149835,1.0,72082421360.04199,[ 1.8839348  -1.16373506  1.92784044  0.97413397],68839.6309790803,119104.85532934548,[ 0.8852078  -1.16393812  0.91976563  0.97412767],119104.85532934548,[ 0.8852078  -1.16393812  0.91976563  0.97412767],69.28852725028992,1,C2,4,277.15410900115967
38,14,2,87744.0908069943,1.0,0.0,[ 0.9346134  -0.14312267  0.65663397 -1.46321351],87472.40777565753,93896.03476485083,[1.81670032 1.38760103 1.49274815 0.97335713],93896.03476485083,[1.81670032 1.38760103 1.49274815 0.97335713],38.66238760948181,1,C2,4,154.64955043792725
39,14,3,87744.0908069943,1.0,0.0,[ 0.9346134  -0.14312267  0.65663397 -1.46321351],52486.00370261126,127304.64238455918,[-2.          0.77601548  1.08655403  0.96087682],93896.03476485083,[1.81670032 1.38760103 1.49274815 0.97335713],76.04729151725769,1,C2,4,304.18916606903076
