a_1,a_2,a_3,a_4,x_1,x_2,V,V_scaled
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,1.0,1.375,-0.17863687719916488,103656.18935426645
-1.3023643249400514,-1.1900927392651872,-2.0720798063598167,-1.7897298894274487,1.0,2.0,-1210.216335308251,102446.15165583539
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,-1.5,-0.5,-20023.36402092346,83633.00397022019
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,-1.5,0.125,-210152.58410148643,-106496.21611034278
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,-1.5,0.75,-4987.261019342105,98669.10697180155
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,-1.5,1.375,-137.54456190305402,103518.8234292406
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,-1.5,2.0,15.416438624918943,103671.78442976857
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,-0.875,-0.5,-832.6185350412442,102823.7494561024
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,-0.875,0.125,-9331.760443419815,94324.60754772383
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,-0.875,0.75,-146.7768865218685,103509.59110462178
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,-0.875,1.375,-194.2309851175302,103462.13700602613
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,-0.875,2.0,28.325169048702787,103684.69316019236
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,-0.25,-0.5,-81.08609893689601,103575.28189220675
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,-0.25,0.125,-1028.4958382677617,102627.87215287589
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,-0.25,0.75,-51.27548368250126,103605.09250746114
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,-0.25,1.375,-91.22802720925463,103565.13996393439
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,-0.25,2.0,-100.61484251368256,103555.75314862997
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,0.375,-0.5,-24.33098308513012,103632.03700805851
1.1376337095979028,-0.2846652897945152,-1.4138512969102202,-1.4818398272738322,0.375,0.125,-289.5765776838566,103366.7914134598
