,a1,a2,a3,a4,b1,b2,b3,b4,X1exp,X2exp,Yexp
26,-0.9174049840794016,-0.6857363441817512,-1.1301574075025798,1.9244493183415967,-1.3743214925920713,-0.3783076024098102,14.306980317540855,1.7016352474190244,-0.05,0.467,-70.89485287002523
27,-0.9174049840794016,-0.6857363441817512,-1.1301574075025798,1.9244493183415967,-1.3743214925920713,-0.3783076024098102,14.306980317540855,1.7016352474190244,0.623,0.028,129.56529876816515
28,-0.9174049840794016,-0.6857363441817512,-1.1301574075025798,1.9244493183415967,-1.3743214925920713,-0.3783076024098102,14.306980317540855,1.7016352474190244,-0.82,0.62,-97.35868714277532
29,-0.9174049840794016,-0.6857363441817512,-1.1301574075025798,1.9244493183415967,-1.3743214925920713,-0.3783076024098102,14.306980317540855,1.7016352474190244,0.22,0.3,-43.438149392605396
30,0.19946824531064822,-1.8687449600025903,-8.724247216348864,0.8386969160525979,1.7598874789864123,1.8233875712605747,8.150834887785692,0.24430780294654664,-1.0,0.0,-417.11226557355405
31,0.19946824531064822,-1.8687449600025903,-8.724247216348864,0.8386969160525979,1.7598874789864123,1.8233875712605747,8.150834887785692,0.24430780294654664,-1.0,0.375,-26.443578217884912
32,0.19946824531064822,-1.8687449600025903,-8.724247216348864,0.8386969160525979,1.7598874789864123,1.8233875712605747,8.150834887785692,0.24430780294654664,-1.0,0.75,-0.21827582356858244
33,0.19946824531064822,-1.8687449600025903,-8.724247216348864,0.8386969160525979,1.7598874789864123,1.8233875712605747,8.150834887785692,0.24430780294654664,-1.0,1.125,-20.413902279472165
34,0.19946824531064822,-1.8687449600025903,-8.724247216348864,0.8386969160525979,1.7598874789864123,1.8233875712605747,8.150834887785692,0.24430780294654664,-1.0,1.5,-1.3280861672924615
35,0.19946824531064822,-1.8687449600025903,-8.724247216348864,0.8386969160525979,1.7598874789864123,1.8233875712605747,8.150834887785692,0.24430780294654664,-0.625,0.0,-314.65593773952224
36,0.19946824531064822,-1.8687449600025903,-8.724247216348864,0.8386969160525979,1.7598874789864123,1.8233875712605747,8.150834887785692,0.24430780294654664,-0.625,0.375,-55.10480584103695
