,Run Number,BO Iter,Best Error,Exploration Bias,Max EI,Theta Max EI,Min Obj,Min Obj Act,Theta Min Obj,Min Obj Cum.,Theta Min Obj Cum.,Time/Iter,Sep Fact,BO Method,Max Evals,Total Run Time
267,14,6,0.01067008955443883,9.650632465771888,0.5132559986449565,[ 0.99939732 -1.0000502 ],1.1170642232049028e-06,1.6217055881432579e-06,[ 0.99971434 -1.00015394],1.5318227662960415e-06,[ 0.99976266 -1.00016878],1.262328863143921,0.6,A2,9,11.360959768295288
268,14,7,3.7178789198781986e-06,9.650632465771888,3.9204770189650676e-05,[ 0.99971805 -1.00001952],2.552230412990797e-07,3.7151968344100976e-07,[ 0.99986729 -1.00007581],3.7151968344100976e-07,[ 0.99986729 -1.00007581],1.222877025604248,0.6,A2,9,11.005893230438232
269,14,8,8.079316490476197e-07,9.650632465771888,1.9066058445428483e-06,[ 1.61208189 -0.38727594],1.1033048837091174e-07,1.6081786098952774e-07,[ 0.99991392 -1.00005051],1.6081786098952774e-07,[ 0.99991392 -1.00005051],1.0532193183898926,0.6,A2,9,9.478973865509033
270,0,0,9.650632465771888,0.6973438818606226,33.58983399222174,[ 0.98875091 -0.99191757],0.00039047863054466714,0.0016944978895975147,[ 0.99464359 -0.99356575],0.0016944978895975147,[ 0.99464359 -0.99356575],1.707399845123291,0.8,A2,6,10.244399070739746
271,0,1,0.0034864952482902157,9.650632465771888,0.1666670270277707,[ 1.00264701 -1.00023916],3.6023694531903305e-06,9.397493643874713e-05,[ 1.00298212 -1.0003852 ],9.397493643874713e-05,[ 1.00298212 -1.0003852 ],1.3597002029418945,0.8,A2,6,8.158201217651367
272,0,2,7.201143041281856e-05,9.650632465771888,0.0025742103276143635,[ 1.00111606 -1.00008205],6.051546788913622e-07,1.6594816810312486e-05,[ 1.00125973 -1.00014608],1.6594816810312486e-05,[ 1.00125973 -1.00014608],1.1966848373413086,0.8,A2,6,7.180109024047852
273,0,3,1.2684765152828916e-05,9.650632465771888,0.00025942500782922536,[ 1.00069499 -1.0000451 ],2.2803111963702028e-07,6.419558348220678e-06,[ 1.00078542 -1.00008588],6.419558348220678e-06,[ 1.00078542 -1.00008588],1.4395692348480225,0.8,A2,6,8.637415409088135
274,0,4,4.899268343248452e-06,9.650632465771888,6.834664905179422e-05,[ 1.00049903 -1.00003062],1.1570043958113904e-07,3.3190112029414272e-06,[ 1.00056568 -1.00005919],3.3190112029414272e-06,[ 1.00056568 -1.00005919],1.4020192623138428,0.8,A2,6,8.412115573883057
275,0,5,2.522210750856282e-06,9.650632465771888,2.6507161629016827e-05,[ 1.00038825 -1.00002128],6.870531156837588e-08,1.995490246360985e-06,[ 1.00043911 -1.0000445 ],1.995490246360985e-06,[ 1.00043911 -1.0000445 ],1.2781617641448975,0.8,A2,6,7.668970584869385
276,1,0,9.650632465771888,0.6973445559306881,33.589866450052554,[ 0.98875236 -0.99191792],0.0003904779041857365,0.0016944991094718807,[ 0.99464366 -0.99356573],0.0016944991094718807,[ 0.99464366 -0.99356573],1.6142077445983887,0.8,A2,6,9.685246467590332
277,1,1,0.0034859749543652316,9.650632465771888,0.16664193270933436,[ 1.00264679 -1.00023912],3.60171553799452e-06,9.396349412364255e-05,[ 1.00298195 -1.00038514],9.396349412364255e-05,[ 1.00298195 -1.00038514],1.3042645454406738,0.8,A2,6,7.825587272644043
278,1,2,7.19991677258667e-05,9.650632465771888,0.002573657784019126,[ 1.00111598 -1.00008204],6.050541761892054e-07,1.659312125866741e-05,[ 1.00125967 -1.00014606],1.659312125866741e-05,[ 1.00125967 -1.00014606],1.1365208625793457,0.8,A2,6,6.819125175476074
279,1,3,1.2682871566413428e-05,9.650632465771888,0.0002593696291786419,[ 1.00069495 -1.00004516],2.2799385218555677e-07,6.418848365354622e-06,[ 1.00078537 -1.00008588],6.418848365354622e-06,[ 1.00078537 -1.00008588],1.3898646831512451,0.8,A2,6,8.33918809890747
280,1,4,4.898835477835609e-06,9.650632465771888,6.833779539787859e-05,[ 1.00050026 -1.00002969],1.1567958280374671e-07,3.3137620092652963e-06,[ 1.0005652  -1.00005922],3.3137620092652963e-06,[ 1.0005652  -1.00005922],1.7261359691619873,0.8,A2,6,10.356815814971924
281,1,5,2.5325932016014204e-06,9.650632465771888,2.666786779258874e-05,[ 1.00034431 -1.00005808],6.869563199320146e-08,1.997459398594975e-06,[ 1.00043931 -1.00004456],1.997459398594975e-06,[ 1.00043931 -1.00004456],1.2772417068481445,0.8,A2,6,7.663450241088867
